WSN,WS Name,Agency,County,Population Served, Service Connections, Total Funding Request,latitude,longitude, Completed Date
1610009,KETTLEMAN CITY CSD,DISTRICT 12 - VISALIA,KINGS,1450,354,26017.2,36.0080189,-119.9667856,11-12-2021,
5010009,KEYES COMMUNITY SERVICES DIST.,DISTRICT 10 - STOCKTON,STANISLAUS,5999,1370,4815.62,37.5580692,-120.9101738,10-07-2021,
0800548,KLAMATH C.S.D.,DISTRICT 01 - KLAMATH,DEL NORTE,100,59,1736.43,41.5305,-124.0518239,10-15-2021,
1710006,KONOCTI COUNTY WATER DISTRICT,DISTRICT 03 - MENDOCINO,LAKE,5928,1800,213633.0,38.9475031,-122.6161539,10-27-2021,
1500475,KRISTA MUTUAL WATER COMPANY,DISTRICT 19 - TEHACHAPI,KERN,501,179,3705.43,34.8227556,-118.9448219,10-18-2021,
1910218,LA HABRA HEIGHTS CWD,DISTRICT 07 - HOLLYWOOD,LOS ANGELES,5459,2006,6556.08,33.9477192,-117.9647941,10-08-2021,
3010017,LAGUNA BEACH COUNTY WD,DISTRICT 08 - SANTA ANA,ORANGE,23343,8707,17970.83,33.5441062,-117.7820073,10-07-2021,
3610005,LAKE ARROWHEAD CSD,DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,7008,7885,89031.0,34.2693794,-117.2088167,10-14-2021,
5510008,LAKE DON PEDRO CSD,DISTRICT 11 - MERCED,TUOLUMNE,3240,1492,35870.47,37.6537204,-120.3117924,10-18-2021,
5800805,LAKE FRANCIS MUTUAL WATER COMPANY,LPA88 - YUBA COUNTY,YUBA,60,21,3296.0,39.3720975,-121.2080182,11-15-2021,
3310022,LAKE HEMET MWD,DISTRICT 20 - RIVERSIDE,RIVERSIDE,52913,14314,169324.18,33.7466931,-116.9519319,11-12-2021,
3700924,LAKE MORENA VIEWS MWC,DISTRICT 14 - SAN DIEGO,SAN DIEGO,360,123,36182.38,32.60757950000001,-116.4697321,10-15-2021,
1510023,LAKE OF THE WOODS MWC,DISTRICT 19 - TEHACHAPI,KERN,1103,390,4869.71,34.8199242,-118.9455209,10-15-2021,
3710013,LAKESIDE WD,DISTRICT 14 - SAN DIEGO,SAN DIEGO,35500,6955,27168.85,32.8656483,-116.9205247,10-20-2021,
1510012,LAMONT PUBLIC UTILITY DIST,DISTRICT 12 - VISALIA,KERN,19057,3151,33745.87,35.25627679999999,-118.9088956,11-12-2021,
1000053,LANARE COMMUNITY SERVICES DIST,DISTRICT 23 - FRESNO,FRESNO,660,156,3157.25,35.25627679999999,-118.9088956,10-15-2021,
1910225,LAS VIRGENES MWD,DISTRICT 22 - ANGELES,LOS ANGELES,72602,20022,227720.18,34.1365168,-118.7013675,11-01-2021,
1810003,LASSEN COUNTY WATER DISTRICT #1,DISTRICT 02 - LASSEN,LASSEN,450,147,6999.59,41.1212162,-121.1433948,11-17-2021,
3610003,LIBERTY UTILITIES (AV RANCHOS) CORP.,DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,62602,21059,921752.77,34.5008311,-117.1858759,10-14-2021,
1910211,LIBERTY UTILITIES - BELLFLOWER-NORWALK,DISTRICT 22 - ANGELES,LOS ANGELES,72964,16588,1982627.79,33.922981,-118.1128622,10-14-2021,
1910063,LINCOLN AVENUE WATER CO.,DISTRICT 16 - CENTRAL,LOS ANGELES,16126,4476,104517.75,34.193513,-118.160427,10-07-2021,
5410006,LINDSAY  CITY OF,DISTRICT 24 - TULARE,TULARE,13463,3090,39643.33,36.2030672,-119.0879895,10-15-2021,
1910064,LITTLEROCK CREEK IRRIGATION DIST.,DISTRICT 07 - HOLLYWOOD,LOS ANGELES,3488,1352,10446.7,34.5205281,-117.9749321,11-16-2021,
3700922,LIVE OAK SPRINGS WATER SYSTEM,LPA67 - SAN DIEGO COUNTY,SAN DIEGO,300,94,7024.72,32.8334046,-117.1303358,11-15-2021,
3610013,LOMA LINDA  CITY OF,DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,24482,5680,82325.75,34.04782840000001,-117.24677,11-04-2021,
5800803,LOMA RICA WATER COMPANY,LPA88 - YUBA COUNTY,YUBA,200,70,3641.0,41.8174633,-89.5652667,11-05-2021,
4210006,LOMPOC-CITY WATER UTILITY DIV,DISTRICT 06 - SANTA BARBARA,SANTA BARBARA,40843,9798,479123.61,34.653796,-120.4506604,10-19-2021,
5410017,LONDON COMMUNITY SERV DIST,DISTRICT 12 - VISALIA,TULARE,2138,320,32707.65,36.4785375,-119.4418956,10-28-2021,
1910067,LOS ANGELES-CITY  DEPT. OF WATER & POWER,DISTRICT 15 - METROPOLITAN,LOS ANGELES,4041284,725246,8.632651017E7,34.0587425,-118.2494645,11-17-2021,
5210003,LOS MOLINOS COMM. SERVICES DIST.,DISTRICT 21 - VALLEY,TEHAMA,1450,376,4455.0,40.0212683,-122.1002666,10-15-2021,
0910007,LUKINS BROTHERS WATER COMPANY,DISTRICT 09 - SACRAMENTO,EL DORADO,3200,982,2973.61,38.9230017,-120.0223282,11-15-2021,
1910079,LYNWOOD-CITY  WATER DEPT.,DISTRICT 22 - ANGELES,LOS ANGELES,66967,9112,755678.45,33.9263973,-118.1990681,10-28-2021,
1010042,MALAGA COUNTY WATER DISTRICT,DISTRICT 12 - VISALIA,FRESNO,5979,462,53284.33,36.68334,-119.7321931,10-15-2021,
2110002,MARIN MUNICIPAL WATER DISTRICT,DISTRICT 18 - SONOMA,MARIN,189100,62206,2144461.3,37.9370267,-122.517915,10-29-2021,
2710017,MARINA COAST WATER DISTRICT,DISTRICT 05 - MONTEREY,MONTEREY,37472,9420,109885.24,36.6989164,-121.808715,11-16-2021,
0202504,MARKLEEVILLE WATER CO.,LPA32 - ALPINE COUNTY,ALPINE,25,167,9143.73,38.6908226,-119.7982902,10-26-2021,
3610028,MARYGOLD MWC,DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,3055,926,20610.43,34.077184,-117.4178733,10-12-2021,
1210016,MCKINLEYVILLE C.S.D.,DISTRICT 01 - KLAMATH,HUMBOLDT,16900,6101,47746.22,40.9424176,-124.1106419,10-07-2021,
4110017,MENLO PARK MUNICIPAL WATER,DISTRICT 17 - SANTA CLARA,SAN MATEO,14348,4099,212534.13,37.4538717,-122.1774875,11-11-2021,
3010004,MESA  WATER DISTRICT,DISTRICT 08 - SANTA ANA,ORANGE,110000,24358,225484.08,33.645888,-117.9326806,11-10-2021,
1910090,MONROVIA-CITY  WATER DEPT.,DISTRICT 22 - ANGELES,LOS ANGELES,37787,10328,199881.62,34.1451681,-117.9858072,10-29-2021,
5403212,MONSON WATER SYSTEM,DISTRICT 24 - TULARE,TULARE,140,32,951.65,36.5450012,-119.3392005,10-14-2021,
3610029,MONTE VISTA CWD,DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,57973,11940,155079.85,34.0744229,-117.692145,11-08-2021,
1910117,MONTEBELLO-CITY  WATER DEPT.,DISTRICT 22 - ANGELES,LOS ANGELES,8157,1503,25254.57,34.0749394,-118.0341611,11-05-2021,
4010011,MORRO BAY PW DEPT - WATER DIVISION,DISTRICT 06 - SANTA BARBARA,SAN LUIS OBISPO,10543,5421,203773.22,35.3673915,-120.8467989,10-28-2021,
3010073,MOULTON NIGUEL WATER DISTRICT,DISTRICT 08 - SANTA ANA,ORANGE,171856,52625,518119.78,33.563792,-117.7075093,11-04-2021,
4300740,MOUNTAIN SPRINGS MUTUAL WATER COMPANY,DISTRICT 17 - SANTA CLARA,SANTA CLARA,37,18,4379.68,37.1504061,-121.9786323,10-15-2021,
4410008,MT. HERMON ASSOCIATION  INC.,DISTRICT 05 - MONTEREY,SANTA CRUZ,2850,494,7352.82,37.0512921,-122.0580768,11-03-2021,
1200538,MYERS FLAT M.W.S. INC.,DISTRICT 01 - KLAMATH,HUMBOLDT,400,101,16637.49,40.2659682,-123.8716158,10-15-2021,
3310051,MYOMA DUNES MUTUAL WATER COMPANY,DISTRICT 20 - RIVERSIDE,RIVERSIDE,8948,2551,51256.59,33.7441372,-116.2859421,11-12-2021,
1710008,NICE MUTUAL WATER COMPANY,DISTRICT 03 - MENDOCINO,LAKE,2731,1069,27828.95,39.12072610000001,-122.836685,10-05-2021,
4010026,NIPOMO COMM SERVICES DIST,DISTRICT 06 - SANTA BARBARA,SAN LUIS OBISPO,13173,4464,197514.35,35.0427547,-120.4759986,10-18-2021,
2310007,NORTH GUALALA WATER COMPANY,DISTRICT 03 - MENDOCINO,MENDOCINO,2593,1059,10932.92,38.7668519,-123.5272935,10-13-2021,
2110006,NORTH MARIN WD - PT. REYES,DISTRICT 18 - SONOMA,MARIN,1700,764,1489.91,38.1,-122.57,11-16-2021,
3310026,NUEVO WATER COMPANY,DISTRICT 20 - RIVERSIDE,RIVERSIDE,7033,1882,3644.74,33.8173673,-117.1317605,11-16-2021,
4010005,OCEANO COMM SERVICES DIST.,DISTRICT 06 - SANTA BARBARA,SAN LUIS OBISPO,7487,2203,31549.7,35.1025361,-120.6167984,11-17-2021,
