WSN,WS Name,Agency,County,Population Served, Service Connections, Total Funding Request,latitude,longitude, Completed Date
3600196,CSA 70 W-4 PIONEERTOWN,LPA66 - SAN BERNARDINO COUNTY,SAN BERNARDINO,400,120,N/A,34.51403,-117.36324,Have not applied
3600226,CSA 70-F MORONGO,LPA66 - SAN BERNARDINO COUNTY,SAN BERNARDINO,450,84,N/A,34.51403,-117.36324,Have not applied
4210009,CUYAMA COMMUNITY SERVICES DISTRICT,DISTRICT 06 - SANTA BARBARA,SANTA BARBARA,763,254,N/A,34.973386,-119.8005027,Have not applied
1502449,CYPRESS CANYON WATER SYSTEM,DISTRICT 19 - TEHACHAPI,KERN,44,16,N/A,35.6283762,-118.4163103,Have not applied
3410007,DEL PASO MANOR COUNTY WATER DI,DISTRICT 09 - SACRAMENTO,SACRAMENTO,4520,1796,N/A,38.6050745,-121.3818448,Have not applied
1510005,DELANO  CITY OF,DISTRICT 12 - VISALIA,KERN,53936,9985,N/A,35.7509332,-119.2412949,Have not applied
5403023,DELFT COLONY WATER,DISTRICT 24 - TULARE,TULARE,454,99,N/A,36.2775758,-119.3154572,Have not applied
710007,DIABLO WATER DISTRICT,DISTRICT 04 - SAN FRANCISCO,CONTRA COSTA,40144,12574,N/A,38.0044162,-121.685341,Have not applied
5410002,DINUBA  CITY OF,DISTRICT 24 - TULARE,TULARE,26305,6226,N/A,36.5302886,-119.382824,Have not applied
1910034,DOWNEY - CITY  WATER DEPT.,DISTRICT 16 - CENTRAL,LOS ANGELES,112214,23010,N/A,33.9403679,-118.1284976,Have not applied
5410021,EARLIMART PUD,DISTRICT 24 - TULARE,TULARE,8800,1545,N/A,35.879,-119.3714909,Have not applied
110005,EAST BAY MUD,DISTRICT 04 - SAN FRANCISCO,ALAMEDA,1405000,390779,N/A,37.8013164,-122.2708386,Have not applied
3010068,EAST ORANGE COUNTY WD - RZ,DISTRICT 08 - SANTA ANA,ORANGE,3247,1206,N/A,33.7892992,-117.8222361,Have not applied
5401003,EAST OROSI CSD,DISTRICT 24 - TULARE,TULARE,932,103,N/A,36.5902725,-119.1623231,Have not applied
3610064,EAST VALLEY WATER DISTRICT,DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,103000,21353,N/A,34.105041,-117.1255929,Have not applied
2701423,ECHO VALLEY RD WS #05,LPA57 - MONTEREY COUNTY,MONTEREY,45,16,N/A,36.8266842,-121.6570618,Have not applied
1310004,EL CENTRO  CITY OF,DISTRICT 14 - SAN DIEGO,IMPERIAL,44079,10076,N/A,32.7894128,-115.5506337,Have not applied
3400121,EL DORADO MOBILE HOME PARK,LPA64 - SACRAMENTO COUNTY,SACRAMENTO,256,128,N/A,32.7894128,-115.5506337,Have not applied
3400122,EL DORADO WEST MHP,LPA64 - SACRAMENTO COUNTY,SACRAMENTO,172,86,N/A,32.7894128,-115.5506337,Have not applied
1910038,EL MONTE-CITY  WATER DEPT.,DISTRICT 16 - CENTRAL,LOS ANGELES,22968,3525,N/A,34.0797668,-118.0441321,Have not applied
1910040,EL SEGUNDO-CITY  WATER DEPT.,DISTRICT 15 - METROPOLITAN,LOS ANGELES,16719,4973,N/A,33.9206262,-118.4069224,Have not applied
1100616,ELK CREEK COMMUNITY S.D.,DISTRICT 21 - VALLEY,GLENN,159,90,N/A,39.6405126,-121.7701438,Have not applied
3910003,ESCALON  CITY OF,DISTRICT 10 - STOCKTON,SAN JOAQUIN,7478,2510,N/A,37.7882083,-120.9959219,Have not applied
3710006,ESCONDIDO  CITY OF,DISTRICT 14 - SAN DIEGO,SAN DIEGO,137941,26766,N/A,33.1226504,-117.0831777,Have not applied
4110021,ESTERO MUNICIPAL IMPROVEMENT DISTRICT,DISTRICT 17 - SANTA CLARA,SAN MATEO,37687,8170,N/A,37.570544,-122.2700411,Have not applied
1502670,FAIRVIEW WATER COMPANY  LLC,DISTRICT 19 - TEHACHAPI,KERN,240,72,N/A,35.1269611,-118.618751,Have not applied
1000019,FCSA #30/EL PORVENIR,DISTRICT 23 - FRESNO,FRESNO,241,56,N/A,36.7353293,-119.787568,Have not applied
1000359,FCSA #32/CANTUA CREEK,DISTRICT 23 - FRESNO,FRESNO,476,79,N/A,36.7353293,-119.787568,Have not applied
1000484,FCSA #34/ MILLERTON NEW TOWN,DISTRICT 23 - FRESNO,FRESNO,1100,439,N/A,36.7353293,-119.787568,Have not applied
1000471,FCSA #39 A&B,DISTRICT 23 - FRESNO,FRESNO,395,141,N/A,36.7353293,-119.787568,Have not applied
1000551,FCSA #43/RAISIN CITY,DISTRICT 23 - FRESNO,FRESNO,190,68,N/A,36.7353293,-119.787568,Have not applied
1000550,FCSA #44D/MONTE VERDI,DISTRICT 23 - FRESNO,FRESNO,344,125,N/A,36.7353293,-119.787568,Have not applied
1000546,FCSA #49/ FIVE POINTS,DISTRICT 23 - FRESNO,FRESNO,445,46,N/A,36.7353293,-119.787568,Have not applied
1010051,FCWWD #18/FRIANT,DISTRICT 23 - FRESNO,FRESNO,772,251,N/A,37.0429444,-119.6730939,Have not applied
1000041,FCWWD #38/SKY HARBOUR,DISTRICT 23 - FRESNO,FRESNO,165,64,N/A,36.7353293,-119.787568,Have not applied
1000042,FCWWD #40 / SHAVER SPRINGS,DISTRICT 23 - FRESNO,FRESNO,193,70,N/A,36.7353293,-119.787568,Have not applied
1010017,FCWWD #41/SHAVER LAKE,DISTRICT 23 - FRESNO,FRESNO,2037,960,N/A,36.7353293,-119.787568,Have not applied
5610002,FILLMORE WATER DEPT,DISTRICT 06 - SANTA BARBARA,VENTURA,15222,4706,N/A,34.3986199,-118.9123868,Have not applied
